date,reach.id,transect.no,purpose,wetted.width.m,thalweg.depth.m,width.to.depth,time.m,time.l,time.r,lens.height.m,lens.height.l,lens.height.r,veg.type.l,veg.type.r,veg.code.l,veg.code.r,veg.code.avg,wetted.edge.l.m,wetted.edge.r.m,herb.height.max.l.m,herb.height.max.r.m,herb.height.max.avg.m,stream.aspect.deg,stream.orient.from.north,veg.dens.l,veg.dens.r,veg.dens.avg,herb.height.mode.l.m,herb.height.mode.r.m,herb.height.mode.avg.m,lat.dec.deg,long.dec.deg,wood.height.max.l.m,wood.height.max.r.m,shade.lidar.leafoff.dsm,shade.lidar.dem,gap.fraction.m,gap.fraction.l,gap.fraction.r,gap.fraction.avg,openness.m,openness.l,openness.r,openness.avg,total.site.factor.m,total.site.factor.l,total.site.factor.r,total.site.factor.avg,shade.m,shade.l,shade.r,shade.avg
7/13/2017,7,1,Transect,2.86385,0.4695825,6.1,12:40,12:47,12:52,0.28575,0.4572,0.2921,M,M,0.5,0.5,0.5,-0.2286,-0.85685376,2.049526,NA,2.049526,38,38,1,1,1,NA,NA,NA,45.07285,-92.8334,,,,,0.5063,0.3201,0.1291,0.3185,0.3513,0.2309,0.0948,0.225666667,0.6811,0.5778,0.088,0.448966667,0.3189,0.4222,0.912,0.551033333
7/13/2017,7,2,Transect,2.6924,0.7134225,3.8,14:32,14:37,14:43,0.27305,0.254,0.3937,M,M,0.5,0.5,0.5,0,0,NA,2.201926,2.201926,338,158,1,0.5,0.75,NA,NA,NA,45.07295,-92.8334,,,,,0.3196,0.1281,0.077,0.1749,0.254,0.1102,0.0634,0.142533333,0.3315,0.1856,0.0804,0.199166667,0.6685,0.8144,0.9196,0.800833333
7/13/2017,7,3,Transect,2.8702,0.5854065,4.9,15:41,15:44,15:48,0.2667,0.3429,0.1778,M,M,0.5,0.5,0.5,-0.2286,-0.2032,1.561846,1.988566,1.775206,333,153,0.5,1,0.75,1.257046,1.257046,1.257046,45.07306,-92.8334,,,,,0.7104,0.397,0.4187,0.5087,0.5451,0.3253,0.3159,0.395433333,0.8122,0.4077,0.6911,0.637,0.1878,0.5923,0.3089,0.363
7/13/2017,7,4,Transect,3.6576,0.3171825,11.5,16:24,16:26,16:29,0.33655,0.4064,0.38735,M,G,0.5,0,0.25,0,0,1.897126,1.409446,1.653286,321,141,1,0.5,0.75,1.348486,1.196086,1.272286,45.07315,-92.8335,,,,,0.8645,0.7595,0.7493,0.7911,0.7115,0.6184,0.5885,0.639466667,0.9625,0.8116,0.8754,0.883166667,0.0375,0.1884,0.1246,0.116833333
7/13/2017,7,5,Transect,2.3114,0.4421505,5.2,17:29,17:32,17:38,0.2667,0.3302,0.3175,G,G,0,0,0,-0.127,-0.0381,1.866646,1.958086,1.912366,298,118,1,0.5,0.75,1.257046,1.257046,1.257046,45.07323,-92.8336,,,,,0.828,0.6018,0.7505,0.726766667,0.6737,0.4925,0.6139,0.593366667,0.9663,0.6239,0.9332,0.841133333,0.0337,0.3761,0.0668,0.158866667
7/13/2017,7,6,Transect,3.3655,0.4604385,7.3,18:20,18:22,18:25,0.26035,0.38735,0.2794,G,G,0,0,0,0,-0.0381,1.988566,1.927606,1.958086,45,45,1,1,1,1.257046,1.257046,1.257046,45.0733,-92.8336,,,,,0.8363,0.7486,0.3561,0.647,0.674,0.6181,0.2952,0.5291,0.9694,0.8861,0.2291,0.694866667,0.0306,0.1139,0.7709,0.305133333
7/14/2017,7,7,Transect,3.5306,0.3659505,9.6,11:51,11:56,11:59,0.2921,0.3683,0.42545,M,M,0.5,0.5,0.5,-0.127,-0.0254,1.836166,1.927606,1.881886,12,12,0.5,0.5,0.5,1.226566,1.318006,1.272286,45.07371,-92.8336,,,,,0.8295,0.6932,0.7255,0.7494,0.6674,0.5591,0.5842,0.603566667,0.8812,0.808,0.8424,0.843866667,0.1188,0.192,0.1576,0.156133333
7/14/2017,7,8,Transect,3.0861,0.5396865,5.7,12:20,12:25,12:31,0.3175,0.3683,0.2032,M,M,0.5,0.5,0.5,0,-0.4572,2.049526,1.866646,1.958086,340,160,0.5,1,0.75,1.348486,1.196086,1.272286,45.07382,-92.8336,,,,,0.7996,0.667,0.2346,0.567066667,0.638,0.5312,0.212,0.4604,0.9131,0.6454,0.2951,0.617866667,0.0869,0.3546,0.7049,0.382133333
7/14/2017,7,9,Transect,3.6957,0.3019425,12.2,13:27,13:30,13:33,0.381,0.38735,0.3683,M,G,0.5,0,0.25,0,0.1397,1.592326,1.775206,1.683766,288,108,0.5,0,0.25,1.196086,1.0182225,1.10715425,45.07386,-92.8337,,,,,0.8681,0.7864,0.7679,0.807466667,0.713,0.6426,0.6158,0.657133333,0.9794,0.9258,0.9221,0.942433333,0.0206,0.0742,0.0779,0.057566667
7/14/2017,7,10,Transect,3.1496,0.2988945,10.5,14:38,14:40,14:45,0.3683,0.40005,0.36195,G,G,0,0,0,-0.1524,-0.0508,2.019046,1.638046,1.828546,350,170,0.5,0.5,0.5,1.196086,1.287526,1.241806,45.07396,-92.8337,,,,,0.8685,0.6645,0.6604,0.731133333,0.7178,0.5486,0.5433,0.603233333,0.9632,0.5968,0.7645,0.774833333,0.0368,0.4032,0.2355,0.225166667
7/14/2017,7,11,Transect,2.9337,0.3659505,8.0,15:25,15:29,15:35,0.26035,0.32385,0.2413,M,M,0.5,0.5,0.5,0.1524,-0.9398,2.080006,2.080006,2.080006,352,172,1,1,1,1.561846,1.439926,1.500886,45.07439,-92.8338,,,,,0.4853,0.3519,0.3094,0.3822,0.3814,0.2907,0.2258,0.2993,0.4026,0.3311,0.2138,0.315833333,0.5974,0.6689,0.7862,0.684166667
7/16/2017,6,1,Transect,2.5908,0.3019425,8.6,11:16,11:18,11:23,0.3683,0.5334,0.43815,F,F,1,1,1,-0.0762,0.0381,NA,NA,NA,44,44,0.5,0.5,0.5,NA,NA,NA,45.07115,-92.8365,,,,,0.0758,0.1192,0.0263,0.073766667,0.0511,0.0774,0.0186,0.049033333,0.0676,0.2054,0.0149,0.095966667,0.9324,0.7946,0.9851,0.904033333
7/16/2017,6,2,Transect,2.9464,0.2226945,13.2,11:58,12:08,12:19,0.42545,0.51435,0.5461,F,F,1,1,1,0,0,NA,NA,NA,44,44,0.5,0.5,0.5,NA,NA,NA,45.07122,-92.8364,,,,,0.1744,0.1012,0.0657,0.113766667,0.1136,0.0672,0.0441,0.074966667,0.2473,0.1465,0.0273,0.140366667,0.7527,0.8535,0.9727,0.859633333
7/16/2017,6,3,Transect,3.048,0.5335905,5.7,13:09,13:13,13:16,0.29845,0.53975,0.38735,F,F,1,1,1,0,0.2921,NA,NA,NA,68,68,0,1,0.5,NA,NA,NA,45.07127,-92.8363,,,,,0.1097,0.077,0.1151,0.1006,0.0756,0.0559,0.0791,0.0702,0.2096,0.1604,0.1787,0.1829,0.7904,0.8396,0.8213,0.8171
7/16/2017,6,4,Transect,2.8194,0.1343025,21.0,13:59,14:03,14:09,0.53975,0.5461,0.59055,F,F,1,1,1,0.4064,0.3175,NA,NA,NA,44,44,1,1,1,NA,NA,NA,45.07134,-92.8361,,,,,0.0376,0.0328,0.0303,0.033566667,0.0307,0.0259,0.0262,0.0276,0.0358,0.0371,0.0264,0.0331,0.9642,0.9629,0.9736,0.9669
7/16/2017,6,5,Transect,2.5908,0.3202305,8.1,15:02,15:06,15:10,0.31115,0.4826,0.61595,F,F,1,1,1,0.6858,0.2286,NA,NA,NA,61,61,1,0.5,0.75,NA,NA,NA,45.07137,-92.8359,,,,,0.0408,0.0505,0.031,0.040766667,0.0309,0.0369,0.0209,0.029566667,0.0344,0.0496,0.0236,0.035866667,0.9656,0.9504,0.9764,0.964133333
7/16/2017,6,6,Transect,2.755392,0.3903345,7.1,16:13,16:18,16:22,0.28575,0.45085,0.40005,F,F,1,1,1,0.2286,0.2032,NA,NA,NA,50,50,1,0.5,0.75,NA,NA,NA,45.07141,-92.8358,,,,,0.0594,0.0576,0.0599,0.058966667,0.0475,0.0475,0.0491,0.048033333,0.0537,0.0394,0.0557,0.0496,0.9463,0.9606,0.9443,0.9504
7/17/2017,6,7,Transect,3.3274,0.3842385,8.7,10:21,10:25,10:29,0.3556,0.43815,0.50165,F,F,1,1,1,0.254,0.254,NA,NA,NA,15,15,1,0.5,0.75,NA,NA,NA,45.07151,-92.8357,,,,,0.0884,0.0927,0.1028,0.094633333,0.0613,0.0638,0.0687,0.0646,0.091,0.0965,0.0798,0.0891,0.909,0.9035,0.9202,0.9109
7/17/2017,6,8,Transect,3.2766,0.3659505,9.0,11:04,11:16,11:23,0.34925,0.40005,0.50165,F,F,1,1,1,0,0.3556,NA,NA,NA,26,26,1,0.5,0.75,NA,NA,NA,45.07158,-92.8357,,,,,0.2706,0.164,0.2428,0.2258,0.1759,0.1139,0.1579,0.149233333,0.4185,0.2791,0.1889,0.2955,0.5815,0.7209,0.8111,0.7045
7/17/2017,6,9,Transect,3.1496,0.2257425,14.0,12:23,12:27,12:31,0.47625,0.57785,0.50165,F,F,1,1,1,0,0.127,NA,NA,NA,124,124,1,0.5,0.75,NA,NA,NA,45.07151,-92.8354,,,,,0.0585,0.0489,0.0813,0.0629,0.0464,0.0373,0.0656,0.049766667,0.0491,0.134,0.111,0.098033333,0.9509,0.866,0.889,0.901966667
7/17/2017,6,10,Transect,4.2164,0.2531745,16.7,13:04,13:08,13:12,0.41275,0.43815,0.48895,F,F,1,1,1,-0.3556,0.73152,NA,NA,NA,68,68,1,1,1,NA,NA,NA,45.07147,-92.8353,,,,,0.1644,0.1237,0.1387,0.142266667,0.113,0.0865,0.094,0.097833333,0.0741,0.1119,0.0615,0.0825,0.9259,0.8881,0.9385,0.9175
7/17/2017,6,11,Transect,3.493008,0.3507105,10.0,13:48,13:53,14:04,0.42545,0.47625,0.48895,F,F,1,1,1,0.7366,0,NA,NA,NA,120,120,1,1,1,NA,NA,NA,45.0715,-92.8351,,,,,0.4825,0.2756,0.3049,0.354333333,0.3283,0.1909,0.2135,0.244233333,0.7051,0.4986,0.1994,0.4677,0.2949,0.5014,0.8006,0.5323
7/24/2017,5,11,Transect,3.6576,0.3324225,11.0,9:57,10:02,10:05,0.2921,0.31115,0.4191,M,F,0.5,1,0.75,0.1016,0.4953,1.622806,NA,1.622806,73,73,0,1,0.5,1.622806,NA,1.622806,45.07368,-92.8501,,,,,0.2428,0.3188,0.1146,0.2254,0.1739,0.2135,0.0943,0.160566667,0.1896,0.3009,0.0575,0.182666667,0.8104,0.6991,0.9425,0.817333333
7/24/2017,5,10,Transect,3.7592,0.4360545,8.6,11:26,11:36,11:40,0.28575,0.27305,0.29845,M,F,0.5,1,0.75,0,0,1.2446,NA,1.2446,119,119,0,1,0.5,NA,NA,NA,45.07364,-92.8503,,,,,0.3823,0.4149,0.24,0.345733333,0.2568,0.2804,0.1627,0.2333,0.3977,0.5785,0.0915,0.3559,0.6023,0.4215,0.9085,0.6441
7/24/2017,5,9,Transect,2.413,0.4939665,4.9,12:10,12:14,12:19,0.28575,0.5461,0.23495,M,M,0.5,0.5,0.5,0.127,-0.3048,1.653286,1.653286,1.653286,79,79,0,0,0,1.196086,1.287526,1.241806,45.07369,-92.8504,,,,,0.6086,0.6367,0.5255,0.590266667,0.4316,0.4582,0.3624,0.4174,0.8612,0.797,0.646,0.768066667,0.1388,0.203,0.354,0.231933333
7/24/2017,5,8,Transect,2.8448,0.3476625,8.2,13:46,14:00,14:05,0.381,0.3175,0.53975,F,F,1,1,1,-0.254,0.3048,NA,NA,NA,151,151,0,0.5,0.25,NA,NA,NA,45.07372,-92.8505,,,,,0.1435,0.1093,0.2007,0.151166667,0.1072,0.0958,0.1558,0.1196,0.2752,0.2119,0.4603,0.3158,0.7248,0.7881,0.5397,0.6842
7/24/2017,5,7,Transect,2.996184,0.2867025,10.5,15:15,14:55,15:18,0.4064,0.56515,0.40005,M,F,0.5,1,0.75,0,0.2286,1.524,NA,1.524,87,87,0,1,0.5,NA,NA,NA,45.07383,-92.8507,,,,,0.0248,0.1169,0.024,0.055233333,0.0188,0.0863,0.0172,0.040766667,0.0186,0.0843,0.0176,0.040166667,0.9814,0.9157,0.9824,0.959833333
8/2/2017,5,6,Transect,2.413,0.2714625,8.9,11:34,11:43,11:46,0.3175,0.51435,0.4699,M,M,0.5,0.5,0.5,0.7874,0.254,0.175006,1.775206,0.975106,73,73,0,0,0,0.2562225,1.439926,0.84807425,45.0738,-92.8508,,,,,0.7723,0.7828,0.7677,0.774266667,0.6034,0.6132,0.5941,0.603566667,0.9472,0.9606,0.9191,0.9423,0.0528,0.0394,0.0809,0.0577
8/2/2017,5,5,Transect,2.3876,0.2562225,9.3,12:40,12:44,12:49,0.3175,0.5334,0.4445,G,G,0,0,0,0,0.9652,1.988566,2.171446,2.080006,112,112,1,1,1,1.378966,1.318006,1.348486,45.07382,-92.8509,,,,,0.7305,0.5098,0.8194,0.686566667,0.5661,0.3902,0.656,0.537433333,0.9562,0.8434,0.9629,0.920833333,0.0438,0.1566,0.0371,0.079166667
8/2/2017,5,4,Transect,2.667,0.3354705,8.0,13:05,13:15,13:20,0.28575,0.37465,0.46355,G,G,0,0,0,0.4064,-0.1524,1.958086,1.805686,1.881886,59,59,1,1,1,1.561846,1.500886,1.531366,45.07381,-92.8511,,,,,0.7378,0.6986,0.4982,0.644866667,0.5569,0.5288,0.389,0.491566667,0.9404,0.9356,0.4753,0.783766667,0.0596,0.0644,0.5247,0.216233333
8/2/2017,5,3,Transect,2.9718,0.2562225,11.6,14:03,14:06,14:10,0.3937,0.5334,0.4826,M,F,0.5,1,0.75,-0.0508,0.3302,1.439926,1.439926,1.439926,99,99,0,1,0.5,0.5610225,NA,0.5610225,45.07376,-92.8512,,,,,0.4359,0.5064,0.3981,0.4468,0.3592,0.3855,0.3349,0.359866667,0.3822,0.5769,0.2218,0.393633333,0.6178,0.4231,0.7782,0.606366667
8/2/2017,5,2,Transect,2.7432,0.3019425,9.1,14:45,15:04,15:07,0.3175,0.43815,0.4699,G,M,0,0.5,0.25,-0.1016,0.4572,2.476246,1.866646,2.171446,109,109,0,1,0.5,1.287526,1.439926,1.363726,45.07377,-92.8514,,,,,0.5985,0.6142,0.5373,0.583333333,0.4723,0.4674,0.4422,0.460633333,0.5027,0.5752,0.2519,0.443266667,0.4973,0.4248,0.7481,0.556733333
8/2/2017,5,1,Transect,2.54,0.2196465,11.6,15:27,15:44,15:47,0.4064,0.43815,0.51435,G,M,0,0.5,0.25,-0.1016,0.4064,2.019046,2.110486,2.064766,138,138,0.5,1,0.75,1.439926,1.439926,1.439926,45.07384,-92.8515,,,,,0.7736,0.6713,0.7661,0.737,0.5986,0.5111,0.6038,0.571166667,0.9545,0.8808,0.9116,0.915633333,0.0455,0.1192,0.0884,0.084366667
8/6/2017,4,11,Transect,3.2766,0.2196465,14.9,10:38,10:44,10:49,0.4826,0.48895,0.4445,F,F,1,1,1,0.889,0,1.592326,NA,1.592326,77,77,0.5,1,0.75,1.439926,NA,1.439926,45.07499017,-92.85643819,,,,,0.0777,0.1127,0.0512,0.080533333,0.0624,0.0934,0.047,0.0676,0.0441,0.0848,0.0472,0.0587,0.9559,0.9152,0.9528,0.9413
8/6/2017,4,10,Transect,2.4638,0.1952625,12.6,11:29,11:33,11:35,0.4191,0.48895,0.47625,F,F,1,1,1,0.1016,1.2954,1.500886,0.8963025,1.19859425,131,131,0.5,0.5,0.5,1.226566,0.1952625,0.71091425,45.07500757,-92.85651677,,,,,0.121,0.098,0.1299,0.1163,0.0809,0.0659,0.0863,0.0777,0.2069,0.2136,0.1813,0.2006,0.7931,0.7864,0.8187,0.7994
8/6/2017,4,9,Transect,2.54,0.2562225,9.9,12:02,12:06,12:10,0.4445,0.41275,0.4953,M,F,0.5,1,0.75,-0.6096,0.6096,1.927606,0.9877425,1.45767425,121,121,0.5,1,0.75,1.744726,0.6219825,1.18335425,45.07504042,-92.8566136,,,,,0.1022,0.021,0.1082,0.077133333,0.0668,0.0141,0.077,0.052633333,0.0742,0.0583,0.0373,0.0566,0.9258,0.9417,0.9627,0.9434
8/6/2017,4,8,Transect,4.7498,0.1495425,31.8,12:53,13:02,13:07,0.5334,0.4826,0.4953,M,M,0.5,0.5,0.5,0.2032,0,1.500886,1.531366,1.516126,68,68,0.5,0.5,0.5,1.0182225,1.318006,1.16811425,45.07505073,-92.85672895,,,,,0.1928,0.2436,0.125,0.187133333,0.1447,0.1902,0.0861,0.140333333,0.1888,0.2504,0.108,0.1824,0.8112,0.7496,0.892,0.8176
8/8/2017,4,7,Transect,3.3274,0.3537585,9.4,9:38,9:45,9:49,0.33655,0.381,0.4445,M,F,0.5,1,0.75,-0.6096,0.9144,1.866646,1.1684,1.517523,90,90,0.5,1,0.75,1.348486,1.1684,1.258443,45.0749925,-92.85684551,,,,,0.2318,0.147,0.0768,0.151866667,0.1658,0.103,0.0639,0.1109,0.1444,0.1065,0.0344,0.0951,0.8556,0.8935,0.9656,0.9049
8/8/2017,4,6,Transect,4.191,0.2257425,18.6,10:44,10:50,10:57,0.5207,0.5969,0.5461,M,F,0.5,1,0.75,-0.0762,0.3556,2.019046,1.318006,1.668526,93,93,0.5,1,0.75,1.226566,1.318006,1.272286,45.07505367,-92.85696149,,,,,0.4549,0.0923,0.2815,0.276233333,0.3385,0.0682,0.2231,0.209933333,0.2245,0.2314,0.0778,0.1779,0.7755,0.7686,0.9222,0.8221
8/8/2017,4,5,Transect,3.0988,0.3537585,8.8,12:06,12:11,12:14,0.4064,0.3937,0.53975,F,F,1,1,1,0,0.4318,0.7743825,1.0182225,0.8963025,96,96,1,1,1,0.4695825,0.4086225,0.4391025,45.07508859,-92.85712476,,,,,0.0629,0.0548,0.0674,0.0617,0.0493,0.0527,0.048,0.05,0.1131,0.086,0.0577,0.0856,0.8869,0.914,0.9423,0.9144
8/8/2017,4,4,Transect,5.207,0.2714625,19.2,12:47,12:57,13:05,0.41275,0.57785,0.51435,F,F,1,1,1,0,0,0.8353425,0.8353425,0.8353425,67,67,0.5,0.5,0.5,0.3476625,0.1647825,0.2562225,45.07502238,-92.85722307,,,,,0.0373,0.0282,0.03,0.031833333,0.0282,0.0196,0.023,0.0236,0.0527,0.0236,0.0378,0.038033333,0.9473,0.9764,0.9622,0.961966667
8/8/2017,4,3,Transect,4.2926,0.1312545,32.7,14:18,14:24,14:28,0.5461,0.5588,0.57785,F,F,1,1,1,0,1.2192,0.9267825,NA,0.9267825,106,106,0.5,0.5,0.5,0.5000625,NA,0.5000625,45.07499845,-92.85736122,,,,,0.0435,0.0603,0.0459,0.0499,0.031,0.0469,0.0307,0.0362,0.0546,0.0996,0.0357,0.0633,0.9454,0.9004,0.9643,0.9367
8/8/2017,4,2,Transect,3.7846,0.2562225,14.8,14:42,14:45,14:47,0.43307,0.5461,0.50165,F,F,1,1,1,0.4064,0.7112,1.0182225,NA,1.0182225,115,115,0.5,1,0.75,0.5915025,NA,0.5915025,45.07506504,-92.85753989,,,,,0.0913,0.091,0.0752,0.085833333,0.0624,0.0613,0.0548,0.0595,0.0584,0.115,0.0677,0.080366667,0.9416,0.885,0.9323,0.919633333
8/8/2017,4,1,Transect,3.7846,0.1983105,19.1,15:21,15:26,15:29,0.42545,0.4953,0.5588,M,F,0.5,1,0.75,0,0.254,1.836166,1.500886,1.668526,150,150,0.5,1,0.75,1.196086,1.500886,1.348486,45.07514406,-92.85768011,,,,,0.22,0.1589,0.2167,0.198533333,0.1579,0.1088,0.166,0.144233333,0.1161,0.1004,0.1176,0.111366667,0.8839,0.8996,0.8824,0.888633333
8/13/2017,1,1,Transect,2.8448,0.5305425,5.4,10:14,10:20,10:25,0.22225,0.2794,0.2159,G,G,0,0,0,-0.2794,-0.3556,1.744726,1.378966,1.561846,141,141,0.5,0,0.25,1.196086,0.9877425,1.09191425,45.08237621,-92.86288098,,,,,0.8095,0.4972,0.4152,0.573966667,0.6581,0.4035,0.3433,0.4683,0.9275,0.5623,0.5601,0.6833,0.0725,0.4377,0.4399,0.3167
8/13/2017,1,2,Transect,2.4638,0.3629025,6.8,10:58,11:04,11:09,0.32385,0.32385,0.3937,G,G,0,0,0,-0.4572,-0.2032,1.805686,2.019046,1.912366,116,116,0,0,0,1.11125,1.196086,1.153668,45.08233996,-92.86272583,,,,,0.7589,0.3681,0.4916,0.539533333,0.6227,0.2974,0.4506,0.4569,0.9503,0.4784,0.493,0.640566667,0.0497,0.5216,0.507,0.359433333
8/13/2017,1,3,Transect,2.667,0.2714625,9.8,11:53,11:58,12:01,0.36195,0.3556,0.3937,G,G,0,0,0,-0.1016,-0.5334,1.927606,1.927606,1.927606,115,115,0,0.5,0.25,1.196086,1.287526,1.241806,45.08228455,-92.86258755,,,,,0.5062,0.5052,0.6035,0.5383,0.6579,0.3984,0.4766,0.510966667,0.9203,0.5492,0.6419,0.7038,0.0797,0.4508,0.3581,0.2962
8/13/2017,1,4,Transect,2.5908,0.3659505,7.1,12:42,12:47,12:51,0.37465,0.59055,0.3048,G,G,0,0,0,-0.254,-0.0762,1.318006,1.561846,1.439926,125,125,0,1,0.5,0.9877425,1.257046,1.12239425,45.08222511,-92.86245925,,,,,0.8465,0.8318,0.5001,0.726133333,0.6992,0.694,0.403,0.598733333,0.9701,0.9558,0.5012,0.809033333,0.0299,0.0442,0.4988,0.190966667
8/19/2017,1,5,Transect,2.2352,0.5793105,3.9,10:07,10:13,10:16,0.29845,0.254,0.2413,G,G,0,0,0,-0.4064,-0.6096,1.897126,1.927606,1.912366,127,127,0.5,0.5,0.5,0.8658225,1.257046,1.06143425,45.0821776,-92.86232161,,,,,0.7365,0.422,0.3832,0.5139,0.5937,0.3302,0.3247,0.4162,0.8537,0.5815,0.2005,0.545233333,0.1463,0.4185,0.7995,0.454766667
8/19/2017,1,6,Transect,3.0734,0.5213985,5.9,10:50,10:56,11:02,0.33655,0.5207,0.24765,G,G,0,0,0,-0.3302,0,1.714246,2.171446,1.942846,125,125,0.5,0.5,0.5,0.7743825,1.11125,0.94281625,45.08211362,-92.86219056,,,,,0.8652,0.5729,0.2298,0.555966667,0.7158,0.4822,0.2207,0.4729,0.9798,0.7821,0.072,0.6113,0.0202,0.2179,0.928,0.3887
